,ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
0,300976.SZ,300976,达瑞电子,20210406,,1305.0,1305.0,168.0,38.71,1.3,21.93,0.0
1,300973.SZ,300973,立高食品,20210406,,4234.0,1080.0,0.0,0.0,1.05,13.917,0.0
2,300972.SZ,300972,万辰生物,20210406,,3838.0,1094.0,0.0,0.0,1.05,0.0,0.0
3,605098.SH,707098,行动教育,20210406,,2109.0,844.0,0.0,0.0,0.8,5.817,0.0
4,601279.SH,780279,英利汽车,20210402,,14943.0,4483.0,0.0,0.0,4.4,3.093,0.0
5,300971.SZ,300971,博亚精工,20210402,,2100.0,599.0,0.0,0.0,0.55,4.43,0.0
6,300968.SZ,300968,格林精密,20210401,,10338.0,1757.0,6.87,24.34,1.75,6.724,0.0
7,688663.SH,787663,新风光,20210401,,3499.0,945.0,14.48,20.53,0.9,6.68,0.0
8,300967.SZ,300967,晓鸣股份,20210331,,4700.0,1340.0,4.54,7.98,1.3,6.699,0.0
9,688315.SH,787315,诺禾致源,20210331,,4020.0,683.0,12.76,231.51,0.65,5.74,0.0
10,605378.SH,707378,野马电池,20210330,,3334.0,3001.0,17.62,22.98,1.3,5.875,0.03
11,688683.SH,787683,莱尔科技,20210330,,3714.0,1263.0,9.51,26.28,0.9,6.375,0.03
12,688611.SH,787611,杭州柯林,20210330,,1398.0,531.0,33.44,19.0,0.35,6.024,0.03
13,688468.SH,787468,科美诊断,20210329,,4100.0,1046.0,7.15,22.77,0.65,7.057,0.03
14,300969.SZ,300969,恒帅股份,20210329,,2000.0,2000.0,20.68,26.3,2.0,4.136,0.01
15,300966.SZ,300966,共同药业,20210329,,2900.0,1407.0,8.24,16.33,0.8,7.171,0.02
16,300970.SZ,300970,华绿生物,20210329,,1459.0,1459.0,44.77,22.98,1.45,6.532,0.01
17,688636.SH,787636,智明达,20210326,,1250.0,425.0,34.5,30.03,0.3,0.0,0.03
18,688191.SH,787191,智洋创新,20210326,,3826.0,1454.0,11.38,22.61,1.05,4.066,0.03
19,300963.SZ,300963,中洲特材,20210326,,3000.0,1455.0,12.13,23.65,0.85,0.0,0.02
20,003041.SZ,003041,真爱美家,20210325,,2500.0,2250.0,18.0,19.02,1.0,4.5,0.02
21,300962.SZ,300962,中金辐照,20210325,,6600.0,3201.0,3.4,15.95,1.85,0.0,0.02
22,003043.SZ,003043,华亚智能,20210325,,2000.0,2000.0,19.81,22.99,2.0,3.962,0.01
23,003042.SZ,003042,中农联合,20210325,,2740.0,2466.0,21.56,22.99,1.05,5.907,0.02
24,688260.SH,787260,昀冢科技,20210323,,3000.0,1140.0,9.63,22.28,0.85,0.0,0.03
25,300965.SZ,300965,恒宇信通,20210323,,1500.0,1500.0,61.72,49.97,1.5,9.258,0.01
26,688630.SH,787630,芯碁微装,20210323,20210401,3020.0,1027.0,15.23,39.76,0.75,0.0,0.03
27,603324.SH,732324,盛剑环境,20210322,,3099.0,2789.0,19.87,22.99,1.2,6.157,0.03
28,688659.SH,787659,元琛科技,20210322,20210331,4000.0,1520.0,6.5,19.82,1.1,3.539,0.03
29,300961.SZ,300961,深水海纳,20210319,20210330,4432.0,2147.0,8.48,15.86,1.25,6.593,0.02
30,688626.SH,787626,翔宇医疗,20210319,20210331,4000.0,1524.0,28.82,45.15,1.1,7.859,0.03
31,688109.SH,787109,品茗股份,20210318,20210330,1360.0,517.0,50.05,42.5,0.35,6.634,0.03
32,300960.SZ,300960,通业科技,20210318,20210329,2560.0,1242.0,12.08,17.31,0.7,4.262,0.02
33,603759.SH,732759,海天股份,20210317,20210326,7800.0,7020.0,11.21,22.98,3.1,8.744,0.04
34,688661.SH,787661,和林微纳,20210317,20210329,2000.0,680.0,17.71,26.91,0.5,0.0,0.03
35,688195.SH,787195,腾景科技,20210316,20210326,3235.0,1229.0,13.6,42.24,0.9,3.821,0.03
36,300958.SZ,300958,建工修复,20210316,20210329,3566.0,1551.0,8.53,17.23,0.9,6.365,0.02
37,300957.SZ,300957,贝泰妮,20210316,20210325,6360.0,2226.0,47.33,51.25,1.05,16.113,0.02
38,688606.SH,787606,奥泰生物,20210315,20210325,1350.0,515.0,133.67,101.92,0.35,0.0,0.03
39,688633.SH,787633,星球石墨,20210315,20210324,1818.0,691.0,33.62,19.96,0.5,4.175,0.03
40,300956.SZ,300956,英力股份,20210312,20210326,3300.0,1601.0,12.85,16.75,0.9,5.781,0.02
41,300955.SZ,300955,嘉亨家化,20210312,20210324,2520.0,1204.0,16.53,26.75,0.7,4.867,0.02
42,688329.SH,787329,艾隆科技,20210312,20210329,1930.0,656.0,16.81,25.52,0.45,0.0,0.03
43,300959.SZ,300959,线上线下,20210311,20210322,2000.0,2000.0,41.0,56.88,2.0,8.2,0.01
44,688609.SH,787609,九联科技,20210311,20210323,10000.0,2550.0,3.99,17.82,1.7,7.068,0.04
45,688092.SH,787092,爱科科技,20210310,20210319,1479.0,503.0,19.11,26.78,0.35,0.0,0.03
46,605286.SH,707286,同力日升,20210310,20210322,4200.0,3780.0,15.08,22.99,1.6,6.334,0.03
47,605389.SH,707389,长龄液压,20210310,20210322,2433.0,2190.0,39.4,22.99,0.9,9.587,0.03
48,003040.SZ,003040,楚天龙,20210309,20210322,7839.0,7055.0,4.62,22.99,2.35,3.622,0.04
49,300953.SZ,300953,震裕科技,20210309,20210318,2327.0,1012.0,28.77,35.69,0.55,6.987,0.02
50,688616.SH,787616,西力科技,20210308,20210318,3750.0,1425.0,7.35,20.47,1.05,4.519,0.03
51,688456.SH,787456,有研粉材,20210308,20210317,3000.0,1140.0,10.62,24.67,0.85,4.478,0.03
52,688316.SH,787316,青云科技,20210303,20210316,1200.0,342.0,63.7,0.0,0.2,0.0,0.03
53,688083.SH,787083,中望软件,20210302,20210311,1549.0,536.0,150.5,119.49,0.35,6.713,0.03
54,688667.SH,787667,菱电电控,20210301,20210312,1290.0,491.0,75.42,26.1,0.35,6.151,0.03
55,300952.SZ,300952,恒辉安防,20210301,20210311,3623.0,1757.0,11.72,20.62,1.0,6.229,0.02
56,605122.SH,707122,四方新材,20210226,20210310,3090.0,2781.0,42.88,22.99,1.2,13.25,0.03
